/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.02e+03 |
|    ep_rew_mean     | 194      |
| time/              |          |
|    fps             | 300      |
|    iterations      | 1        |
|    time_elapsed    | 27       |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.06e+03    |
|    ep_rew_mean          | 221         |
| time/                   |             |
|    fps                  | 241         |
|    iterations           | 2           |
|    time_elapsed         | 67          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.010549102 |
|    clip_fraction        | 0.0791      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.0182      |
|    learning_rate        | 4.99e-05    |
|    loss                 | 0.0297      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0127     |
|    value_loss           | 0.194       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.06e+03    |
|    ep_rew_mean          | 237         |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 3           |
|    time_elapsed         | 107         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.010051463 |
|    clip_fraction        | 0.092       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.217       |
|    learning_rate        | 4.98e-05    |
|    loss                 | 0.0723      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 0.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.09e+03    |
|    ep_rew_mean          | 274         |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 4           |
|    time_elapsed         | 148         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.011717513 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.352       |
|    learning_rate        | 4.98e-05    |
|    loss                 | 0.105       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0149     |
|    value_loss           | 0.314       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.08e+03    |
|    ep_rew_mean          | 285         |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 5           |
|    time_elapsed         | 188         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.011914087 |
|    clip_fraction        | 0.0891      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.474       |
|    learning_rate        | 4.97e-05    |
|    loss                 | 0.0865      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0134     |
|    value_loss           | 0.351       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.07e+03    |
|    ep_rew_mean          | 320         |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 6           |
|    time_elapsed         | 228         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.009489814 |
|    clip_fraction        | 0.0873      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.561       |
|    learning_rate        | 4.96e-05    |
|    loss                 | 0.14        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0131     |
|    value_loss           | 0.346       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.04e+03   |
|    ep_rew_mean          | 336        |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 7          |
|    time_elapsed         | 268        |
|    total_timesteps      | 57344      |
| train/                  |            |
|    approx_kl            | 0.00900189 |
|    clip_fraction        | 0.0801     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.73      |
|    explained_variance   | 0.594      |
|    learning_rate        | 4.95e-05   |
|    loss                 | 0.118      |
|    n_updates            | 60         |
